Marker	Fig_lab	engraft	tUniq	rUniq	Treatment	Remission
BKODAF_2393245	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2393275	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2424030	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2429450	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2431335	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2431345	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2439110	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444315	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444325	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444335	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444340	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444345	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2444350	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2445100	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2452430	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2453660	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2457855	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2457940	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2472925	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2478140	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2492145	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2493580	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2503950	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2504525	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2509810	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2509815	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2515830	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2515840	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2516020	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2518395	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2536245	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2550575	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2577090	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2578300	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2578685	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2595525	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2609465	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2611625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2633560	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2640625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2640635	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641415	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641420	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641955	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641960	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641970	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641975	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2641980	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2642000	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2644070	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2654460	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2675935	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2676075	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2677920	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2677980	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2679530	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2685605	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2686590	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2695620	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2695625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2696950	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2703135	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2709535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2709540	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2714025	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2721435	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2725725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2726725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2726740	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2737230	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2738500	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2739535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2739575	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2744535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2759350	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2762055	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2769610	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2778195	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2780370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2791545	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793010	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793015	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793025	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793030	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793035	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793045	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793050	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793055	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793060	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793065	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793070	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2793080	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2804290	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2804325	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2822480	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2824745	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2832425	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2836005	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2851935	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2854395	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2854435	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2858065	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2858080	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2860400	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2860425	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2862805	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2862810	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2862815	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2873330	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2873385	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2873395	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2876335	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2896235	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2900760	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2909285	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2910360	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2910370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2918370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2919650	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2924985	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2924995	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2925000	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2925525	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2931175	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2935540	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2938410	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2958535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2966520	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2966530	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2971515	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2971520	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2971535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2971550	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2976095	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2997430	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2997440	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3000635	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3001010	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3003885	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3008065	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3008075	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3008375	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3008380	*pt10	1	FMT	F-Res	FMT	Res
